AA_EXERCICIO;CO_UG;CO_GESTAO;CO_CONTA_CONTABIL;CO_FONTE_RECURSO;CO_NATUREZA_RECEITA;CO_CATEGORIA_RECEITA;CO_FONTE_RECEITA;CO_SUB_FONTE_RECEITA;CO_RUBRICA_RECEITA;CO_ALINEA_RECEITA;CO_SUB_ALINEA_RECEITA;CO_TIPO_FONTE;NO_UG;NO_GESTAO;NO_CONTA_CONTABIL;NO_FONTE_RECURSO;NO_NATUREZA_RECEITA;NO_CATEGORIA_RECEITA;NO_FONTE_RECEITA;NO_SUB_FONTE_RECEITA;NO_RUBRICA_RECEITA;NO_ALINEA_RECEITA;NO_SUB_ALINEA_RECEITA;NO_TIPO_FONTE;VR_RECEITA;VR_RECEITA_REALIZADA;VR_RECEITA_PREVISTA;IN_MES;DT_CARGA
2021;170901;17901;413210011;138006669;13210011;1;13;132;1321;132100;13210011;1;FUNDO DE SAÚDE DO DISTRITO FEDERAL;FUNDO DE SAUDE DO DISTRITO FEDERAL; ;RECURSOS DO SISTEMA ÚNICO DE SAÚDE;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;RECEITAS CORRENTES;RECEITA PATRIMONIAL;VALORES MOBILIÁRIOS;JUROS E CORREÇÕES MONETÁRIAS;JUROS E CORREÇÕES MONETÁRIAS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;TESOURO;804,68;804,68;,00;9;2024-08-01 07:33:00
2021;130101;00001;413210011;121017304;13210011;1;13;132;1321;132100;13210011;1;SECR. DE ESTADO DE ECONOMIA DO DISTRITO FEDERAL;TESOURO; ;APLICAÇÕES FINANCEIRAS VINCULADAS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;RECEITAS CORRENTES;RECEITA PATRIMONIAL;VALORES MOBILIÁRIOS;JUROS E CORREÇÕES MONETÁRIAS;JUROS E CORREÇÕES MONETÁRIAS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;TESOURO;,62;,62;,00;5;2024-08-01 07:33:00
2021;130101;00001;413210011;121017304;13210011;1;13;132;1321;132100;13210011;1;SECR. DE ESTADO DE ECONOMIA DO DISTRITO FEDERAL;TESOURO; ;APLICAÇÕES FINANCEIRAS VINCULADAS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;RECEITAS CORRENTES;RECEITA PATRIMONIAL;VALORES MOBILIÁRIOS;JUROS E CORREÇÕES MONETÁRIAS;JUROS E CORREÇÕES MONETÁRIAS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;TESOURO;,06;,06;,00;1;2024-08-01 07:33:00
2021;130101;00001;411130311;377012218;11130311;1;11;111;1113;111303;11130311;3;SECR. DE ESTADO DE ECONOMIA DO DISTRITO FEDERAL;TESOURO; ;APOIO FINANC P/  CONST UNID EDUC INFANTIL - PROINF;IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PRINCIPAL;RECEITAS CORRENTES;IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;IMPOSTOS;IMPOSTOS SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA;IMPOSTO SOBRE A RENDA - RETIDO NA FONTE;IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PRINCIPAL;TESOURO - EXERC¿¿IOS ANTERIORES;2363,77;2363,77;,00;8;2024-08-01 07:33:00
2021;170901;17901;413210011;138006851;13210011;1;13;132;1321;132100;13210011;1;FUNDO DE SAÚDE DO DISTRITO FEDERAL;FUNDO DE SAUDE DO DISTRITO FEDERAL; ;RECURSOS DO SISTEMA ÚNICO DE SAÚDE;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;RECEITAS CORRENTES;RECEITA PATRIMONIAL;VALORES MOBILIÁRIOS;JUROS E CORREÇÕES MONETÁRIAS;JUROS E CORREÇÕES MONETÁRIAS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;TESOURO;35,76;35,76;,00;10;2024-08-01 07:33:00
2021;170901;17901;413210011;138006851;13210011;1;13;132;1321;132100;13210011;1;FUNDO DE SAÚDE DO DISTRITO FEDERAL;FUNDO DE SAUDE DO DISTRITO FEDERAL; ;RECURSOS DO SISTEMA ÚNICO DE SAÚDE;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;RECEITAS CORRENTES;RECEITA PATRIMONIAL;VALORES MOBILIÁRIOS;JUROS E CORREÇÕES MONETÁRIAS;JUROS E CORREÇÕES MONETÁRIAS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;TESOURO;22,81;22,81;,00;7;2024-08-01 07:33:00
2021;180902;18902;413210011;158010331;13210011;1;13;132;1321;132100;13210011;1;FUNDO DE ASSISTÊNCIA SOCIAL DO DISTRITO FEDERAL;FUNDO DE ASSIST. SOCIAL DO DISTRITO FEDERAL; ;RECURSOS DO SISTEMA ASSISTÊNCIA SOCIAL;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;RECEITAS CORRENTES;RECEITA PATRIMONIAL;VALORES MOBILIÁRIOS;JUROS E CORREÇÕES MONETÁRIAS;JUROS E CORREÇÕES MONETÁRIAS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;TESOURO;8735,38;8735,38;,00;11;2024-08-01 07:33:00
2021;180902;18902;413210011;158010331;13210011;1;13;132;1321;132100;13210011;1;FUNDO DE ASSISTÊNCIA SOCIAL DO DISTRITO FEDERAL;FUNDO DE ASSIST. SOCIAL DO DISTRITO FEDERAL; ;RECURSOS DO SISTEMA ASSISTÊNCIA SOCIAL;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;RECEITAS CORRENTES;RECEITA PATRIMONIAL;VALORES MOBILIÁRIOS;JUROS E CORREÇÕES MONETÁRIAS;JUROS E CORREÇÕES MONETÁRIAS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;TESOURO;5246,56;5246,56;,00;9;2024-08-01 07:33:00
2021;170901;17901;413210011;138010499;13210011;1;13;132;1321;132100;13210011;1;FUNDO DE SAÚDE DO DISTRITO FEDERAL;FUNDO DE SAUDE DO DISTRITO FEDERAL; ;RECURSOS DO SISTEMA ÚNICO DE SAÚDE;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;RECEITAS CORRENTES;RECEITA PATRIMONIAL;VALORES MOBILIÁRIOS;JUROS E CORREÇÕES MONETÁRIAS;JUROS E CORREÇÕES MONETÁRIAS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;TESOURO;797,41;797,41;,00;4;2024-08-01 07:33:00
2021;170901;17901;413210011;138006669;13210011;1;13;132;1321;132100;13210011;1;FUNDO DE SAÚDE DO DISTRITO FEDERAL;FUNDO DE SAUDE DO DISTRITO FEDERAL; ;RECURSOS DO SISTEMA ÚNICO DE SAÚDE;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;RECEITAS CORRENTES;RECEITA PATRIMONIAL;VALORES MOBILIÁRIOS;JUROS E CORREÇÕES MONETÁRIAS;JUROS E CORREÇÕES MONETÁRIAS;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;TESOURO;191,52;191,52;,00;4;2024-08-01 07:33:00
